Complaint ID,Date submitted,Date received,Submitted via,State,Product,Sub-product,Issue,Sub-issue,Company public response,Company response to consumer
4848023,2021-10-24,2021-10-27,Referral,NY,Mortgage,Conventional home mortgage,Applying for a mortgage or refinancing an existing mortgage,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Closed with explanation
3621464,2020-04-24,2020-04-24,Web,FL,"Money transfer, virtual currency, or money service",Refund anticipation check,Lost or stolen check,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Closed with monetary relief
5818349,2022-07-27,2022-07-27,Web,CA,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Account information incorrect,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Closed with explanation
2473083,2017-05-01,2017-05-10,Postal mail,MD,Debt collection,Private student loan debt,False statements or representation,Attempted to collect wrong amount,0,Closed with explanation
5820224,2022-07-27,2022-07-28,Referral,VA,Credit card or prepaid card,General-purpose credit card or charge card,Closing your account,Company closed your account,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Closed with explanation
6237961,2022-11-23,2022-11-23,Web,CA,Credit card or prepaid card,General-purpose credit card or charge card,Getting a credit card,Card opened as result of identity theft or fraud,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Closed with explanation
4348292,2021-05-04,2021-05-04,Web,TX,Checking or savings account,Checking account,Closing an account,Funds not received from closed account,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Closed with monetary relief
4090544,2021-01-24,2021-01-24,Web,CA,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Account status incorrect,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Closed with explanation
5337082,2022-03-18,2022-03-18,Web,TX,Credit card or prepaid card,General-purpose credit card or charge card,Fees or interest,Problem with fees,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Closed with monetary relief
6203657,2022-11-14,2022-11-14,Web,VA,Checking or savings account,Other banking product or service,Closing an account,Funds not received from closed account,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Closed with explanation
5092497,2022-01-10,2022-01-10,Web,FL,Mortgage,Conventional home mortgage,Applying for a mortgage or refinancing an existing mortgage,0,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Closed with explanation
5336959,2022-03-18,2022-03-18,Web,KS,Checking or savings account,Checking account,Opening an account,Account opened as a result of fraud,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Closed with explanation
5618881,2022-05-28,2022-05-28,Web,GA,Checking or savings account,Checking account,Managing an account,Deposits and withdrawals,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Closed with explanation
2850455,2018-03-21,2018-03-21,Web,FL,"Money transfer, virtual currency, or money service",International money transfer,Fraud or scam,0,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Closed with explanation
